GameID,Title,Max Players,Review Score,Sales,Price,Category,Year
99,"The Chronicles of Narnia: The Lion, the Witch a...",1,65,0.18,12.95,T,2005
100,Shrek SuperSlam,1,56,0.18,11.95,E,2005
101,Virtua Tennis: World Tour,1,84,0.18,14.95,M,2005
102,Prince of Persia: Revelations,1,65,0.17,6.95,E,2005
103,Burnout Legends,1,38,0.16,17.95,E,2005
104,Meteos,1,88,0.16,15.95,E,2005
105,Spyro: Shadow Legacy,1,50,0.15,17.95,E,2005
106,The Con,1,63,0.15,8.95,E,2005
107,Infected,,74,0.15,17.95,E,2005
108,Pursuit Force,1,75,0.14,14.95,M,2005
109,Kingdom of Paradise,2,72,0.13,12.95,E,2005
110,Dragon Ball Z: Supersonic Warriors 2,1,66,0.13,22.95,E,2005
111,Dragon Quest Heroes: Rocket Slime,1,83,0.13,12.95,T,2005
112,Dead to Rights: Reckoning,1,54,0.13,14.95,E,2005
113,Amped 3,1,72,0.13,14.95,E,2005
114,Break 'em All,1,68,0.12,17.95,T,2005
115,Lunar: Dragon Song,1,59,0.12,14.95,M,2005
116,Madden NFL 06,1,66,0.12,9.95,E,2005
117,Retro Atari Classics,1,51,0.12,12.95,E,2005
118,True Swing Golf,1,66,0.12,14.95,E,2005
119,FIFA Soccer,1,73,0.12,14.95,E,2005
120,Metal Gear Ac!d 2,1,80,0.12,12.95,E,2005
121,ATV Quad Frenzy,1,35,0.11,14.95,T,2005
122,Bomberman,1,75,0.11,17.95,E,2005
123,GoldenEye: Rogue Agent,1,58,0.11,14.95,T,2005
124,Need for Speed Underground 2,1,65,0.11,22.95,T,2005
125,Frogger: Helmet Chaos,1,66,0.11,19.95,E,2005
126,The Lord of the Rings: Tactics,1,64,0.11,19.95,M,2005
127,Rengoku: The Tower of Purgatory,1,43,0.11,12.95,E,2005
128,Gretzky NHL,2,61,0.1,9.95,E,2005
129,Ridge Racer 6,2,74,0.1,14.95,E,2005
130,Ford Racing 3,1,49,0.1,14.95,E,2005
131,NHL 2K6 ,1,75,0.1,5.95,T,2005
132,Bust-a-Move DS,1,75,0.09,17.95,E,2005
133,Battles of Prince of Persia,1,64,0.09,14.95,E,2005
134,GripShift,1,70,0.09,9.95,E,2005
135,Marvel Nemesis: Rise of the Imperfects ,1,34,0.08,14.95,T,2005
136,Scooby-Doo! Unmasked,1,60,0.08,17.95,E,2005
137,Viewtiful Joe: Double Trouble!,1,73,0.08,14.95,E,2005
138,The Legend of Heroes: A Tear of Vermillion,1,68,0.08,17.95,T,2005
139,PQ: Practical Intelligence Quotient,1,69,0.08,14.95,E,2005
140,Lost in Blue,1,69,0.07,24.95,T,2005
141,Ghost in the Shell: Stand Alone Complex,1,61,0.07,14.95,E,2005
142,Dig Dug: Digging Strike,1,65,0.06,16.95,E,2005
143,Frogger: Helmet Chaos,1,69,0.06,17.95,E,2005
144,Mega Man Battle Network 5: Double Team DS,1,68,0.06,17.95,E,2005
145,Nanostray,1,71,0.06,17.95,E,2005
146,Sega Casino,1,61,0.06,17.95,M,2005
147,Teenage Mutant Ninja Turtles 3: Mutant Nightmare,1,58,,17.95,T,2005
148,Pac-Man World 3,1,61,0.06,24.95,E,2005
149,Tokobot,1,72,0.06,17.95,T,2005
150,Fullmetal Alchemist: Dual Sympathy,1,58,0.05,14.95,M,2005
151,Exit,1,77,0.05,9.95,E,2005
152,Bubble Bobble Revolution,1,38,0.04,17.95,M,2005
153,The Rub Rabbits!,2,68,0.02,17.95,M,2005
154,Electroplankton,1,71,0.01,29.95,T,2005
155,LifeSigns: Surgical Unit,1,61,0.01,22.95,T,2005
156,Space Invaders Revolution,1,49,0.01,13.95,E,2005
157,Wii Play,2,58,14.66,14.95,T,2006
158,New Super Mario Bros.,1,89,10.03,27.95,T,2006
